date,cpi_base,1yr_change
1960-01-01,1.45797598627791,
1961-01-01,1.07072414764724,-0.38725183863067003
1962-01-01,1.19877334820186,0.1280492005546201
1963-01-01,1.23966942148753,0.0408960732856698
1964-01-01,1.27891156462591,0.03924214313838004
1965-01-01,1.58516926383662,0.30625769921071
1966-01-01,3.0150753768844,1.4299061130477801
1967-01-01,2.77278562259309,-0.24228975429131028
1968-01-01,4.27179615288537,1.4990105302922805
1969-01-01,5.46238620028745,1.1905900474020799
1970-01-01,5.83825533848251,0.3758691381950596
1971-01-01,4.29276668813051,-1.5454886503519996
1972-01-01,3.27227824655283,-1.02048844157768
1973-01-01,6.17776006377038,2.90548181721755
1974-01-01,11.0548048048048,4.877044741034419
1975-01-01,9.14314686496535,-1.9116579398394489
1976-01-01,5.74481263549085,-3.398334229474501
1977-01-01,6.5016839947284,0.7568713592375502
1978-01-01,7.63096383885606,1.1292798441276597
1979-01-01,11.2544711292795,3.62350729042344
1980-01-01,13.5492019749684,2.2947308456888997
1981-01-01,10.3347153402771,-3.2144866346912995
1982-01-01,6.13142700027493,-4.20328834000217
1983-01-01,3.21243523316065,-2.9189917671142798
1984-01-01,4.30053547523429,1.08810024207364
1985-01-01,3.54564415209365,-0.7548913231406402
1986-01-01,1.89804772234276,-1.6475964297508898
1987-01-01,3.6645632175169,1.7665154951741397
1988-01-01,4.07774110744413,0.4131778899272298
1989-01-01,4.82700303008944,0.7492619226453101
1990-01-01,5.39795643990325,0.5709534098138098
1991-01-01,4.23496396453849,-1.1629924753647591
1992-01-01,3.02881967814969,-1.2061442863888003
1993-01-01,2.95165696638559,-0.07716271176410006
1994-01-01,2.60744159215453,-0.3442153742310601
1995-01-01,2.80541968853662,0.19797809638208985
1996-01-01,2.93120419993441,0.12578451139779023
1997-01-01,2.33768993730735,-0.59351426262706
1998-01-01,1.55227909874364,-0.7854108385637102
1999-01-01,2.18802719697358,0.6357480982299402
2000-01-01,3.37685727149929,1.1888300745257099
2001-01-01,2.82617111885407,-0.5506861526452198
2002-01-01,1.58603162650601,-1.2401394923480602
2003-01-01,2.27009497336115,0.6840633468551403
2004-01-01,2.67723669309172,0.40714171973057
2005-01-01,3.3927468454955,0.7155101524037799
2006-01-01,3.22594410070404,-0.16680274479146018
2007-01-01,2.85267248150138,-0.3732716192026597
2008-01-01,3.839100296651,0.9864278151496197
2009-01-01,-0.355546266299747,-4.194646562950747
2010-01-01,1.6400434423899,1.995589708689647
2011-01-01,3.156841568622,1.5167981262321002
2012-01-01,2.06933726526067,-1.0875043033613303
2013-01-01,1.46483265562717,-0.6045046096334998
2014-01-01,1.62222297740817,0.157390321781
2015-01-01,0.118627135552451,-1.503595841855719
2016-01-01,1.26158320570536,1.142956070152909
2017-01-01,2.13011000365961,0.8685267979542501
2018-01-01,2.44258329692817,0.3124732932685599
2019-01-01,1.81221007526021,-0.6303732216679601
2020-01-01,1.23358439630629,-0.5786256789539199
2021-01-01,4.69785886363742,3.4642744673311303
2022-01-01,8.00279982052121,3.3049409568837893
