date,base_u_rate,1m_u_rate_pct_change,1yr_u_rate_pct_diff
1953-10-01,3.1,6.896551724137945,3.3333333333333437
1953-11-01,3.5,12.903225806451601,25.0
1953-12-01,4.5,28.57142857142858,66.66666666666666
1954-01-01,4.9,8.888888888888902,68.96551724137933
1954-02-01,5.2,6.1224489795918435,100.0
1954-03-01,5.7,9.615384615384626,119.23076923076925
1954-04-01,5.9,3.5087719298245723,118.5185185185185
1954-05-01,5.9,0.0,136.00000000000003
1954-06-01,5.6,-5.084745762711873,123.99999999999997
1954-07-01,5.8,3.571428571428581,123.07692307692308
1954-08-01,6.0,3.4482758620689724,122.22222222222219
1954-09-01,6.1,1.6666666666666607,110.34482758620689
1954-10-01,5.7,-6.5573770491803245,83.87096774193547
1954-11-01,5.3,-7.017543859649134,51.42857142857142
1954-12-01,5.0,-5.660377358490565,11.111111111111116
1955-01-01,4.9,-1.9999999999999907,0.0
1955-02-01,4.7,-4.081632653061229,-9.615384615384615
1955-03-01,4.6,-2.1276595744680993,-19.298245614035093
1955-04-01,4.7,2.1739130434782705,-20.33898305084746
1955-05-01,4.3,-8.510638297872353,-27.118644067796616
1955-06-01,4.2,-2.3255813953488302,-24.99999999999999
1955-07-01,4.0,-4.761904761904767,-31.034482758620683
1955-08-01,4.2,5.000000000000004,-29.999999999999993
1955-09-01,4.1,-2.3809523809523947,-32.786885245901644
1955-10-01,4.3,4.878048780487809,-24.56140350877194
1955-11-01,4.2,-2.3255813953488302,-20.75471698113207
1955-12-01,4.2,0.0,-15.999999999999993
1956-01-01,4.0,-4.761904761904767,-18.36734693877552
1956-02-01,3.9,-2.500000000000002,-17.021276595744684
1956-03-01,4.2,7.692307692307709,-8.695652173913038
1956-04-01,4.0,-4.761904761904767,-14.893617021276595
1956-05-01,4.3,7.499999999999996,0.0
1956-06-01,4.3,0.0,2.3809523809523725
1956-07-01,4.4,2.3255813953488413,10.000000000000009
1956-08-01,4.1,-6.818181818181834,-2.3809523809523947
1956-09-01,3.9,-4.8780487804877986,-4.8780487804877986
1956-10-01,3.9,0.0,-9.302325581395344
1956-11-01,4.3,10.256410256410264,2.3809523809523725
1956-12-01,4.2,-2.3255813953488302,0.0
1957-01-01,4.2,0.0,5.000000000000004
1957-02-01,3.9,-7.142857142857151,0.0
1957-03-01,3.7,-5.128205128205121,-11.904761904761907
1957-04-01,3.9,5.405405405405395,-2.500000000000002
1957-05-01,4.1,5.128205128205132,-4.651162790697683
1957-06-01,4.3,4.878048780487809,0.0
1957-07-01,4.2,-2.3255813953488302,-4.545454545454552
1957-08-01,4.1,-2.3809523809523947,0.0
1957-09-01,4.4,7.317073170731736,12.820512820512842
1957-10-01,4.5,2.2727272727272707,15.384615384615397
1957-11-01,5.1,13.33333333333333,18.604651162790688
1957-12-01,5.2,1.9607843137255054,23.809523809523814
1958-01-01,5.8,11.538461538461542,38.095238095238095
1958-02-01,6.4,10.344827586206895,64.10256410256412
1958-03-01,6.7,4.6875,81.08108108108108
1958-04-01,7.4,10.447761194029859,89.74358974358975
1958-05-01,7.4,0.0,80.4878048780488
1958-06-01,7.3,-1.3513513513513598,69.76744186046513
1958-07-01,7.5,2.7397260273972712,78.57142857142856
1958-08-01,7.4,-1.3333333333333308,80.4878048780488
1958-09-01,7.1,-4.054054054054069,61.36363636363635
1958-10-01,6.7,-5.633802816901401,48.88888888888889
1958-11-01,6.2,-7.462686567164178,21.568627450980404
1958-12-01,6.2,0.0,19.23076923076923
1959-01-01,6.0,-3.2258064516129115,3.4482758620689724
1959-02-01,5.9,-1.6666666666666607,-7.8125
1959-03-01,5.6,-5.084745762711873,-16.417910447761198
1959-04-01,5.2,-7.142857142857128,-29.729729729729726
1959-05-01,5.1,-1.9230769230769384,-31.081081081081084
1959-06-01,5.0,-1.9607843137254832,-31.506849315068497
1959-07-01,5.1,2.0000000000000018,-32.00000000000001
1959-08-01,5.2,1.9607843137255054,-29.729729729729726
1959-09-01,5.5,5.769230769230771,-22.535211267605625
1959-10-01,5.7,3.6363636363636376,-14.925373134328357
1959-11-01,5.8,1.754385964912264,-6.451612903225811
1959-12-01,5.3,-8.62068965517241,-14.516129032258075
1960-01-01,5.2,-1.8867924528301772,-13.33333333333333
1960-02-01,4.8,-7.692307692307699,-18.644067796610177
1960-03-01,5.4,12.500000000000021,-3.5714285714285587
1960-04-01,5.2,-3.703703703703709,0.0
1960-05-01,5.1,-1.9230769230769384,0.0
1960-06-01,5.4,5.882352941176494,8.000000000000007
