date,gdp_base,1yr_gdp_pct_change
1947-01-01,2182.681,
1948-01-01,2239.682,2.6115130887197857
1949-01-01,2260.807,0.9432142598815307
1950-01-01,2346.104,3.7728563296203443
1951-01-01,2593.967,10.564876919352262
1952-01-01,2727.954,5.165331710079579
1953-01-01,2896.811,6.189877102033248
1954-01-01,2845.192,-1.7819250203068182
1955-01-01,3020.746,6.170198707152275
1956-01-01,3117.922,3.2169536928957188
1957-01-01,3213.011,3.0497555743857596
1958-01-01,3120.724,-2.8722901975747894
1959-01-01,3352.129,7.415106238167812
1960-01-01,3517.181,4.92379619042107
1961-01-01,3493.703,-0.6675232238545603
1962-01-01,3758.147,7.569160858836588
1963-01-01,3893.482,3.601109802250946
1964-01-01,4135.553,6.217339646105979
1965-01-01,4362.111,5.478300000024183
1966-01-01,4731.888,8.477019498128314
1967-01-01,4870.299,2.925069232407873
1968-01-01,5057.553,3.8448152772550426
1969-01-01,5283.597,4.469434131486105
1970-01-01,5300.652,0.3227914619529093
1971-01-01,5443.619,2.697158764619889
1972-01-01,5632.649,3.4725060662768703
1973-01-01,6058.544,7.561184799549903
1974-01-01,6097.258,0.6389984128199799
1975-01-01,5957.035,-2.2997714710448536
1976-01-01,6323.649,6.154303273356643
1977-01-01,6527.703,3.2268394403294653
1978-01-01,6796.26,4.1141118093148465
1979-01-01,7238.727,6.510448393675339
1980-01-01,7341.557,1.420553641544986
1981-01-01,7459.022,1.6000011986558205
1982-01-01,7295.631,-2.190515056799669
1983-01-01,7400.066,1.4314731652409485
1984-01-01,8034.847,8.578045114732769
1985-01-01,8400.82,4.5548222635726665
1986-01-01,8749.127,4.146107165729074
1987-01-01,8986.367,2.7115848244058993
1988-01-01,9367.502,4.241257896544837
1989-01-01,9771.725,4.3151632099998505
1990-01-01,10047.386,2.821006526483294
1991-01-01,9951.916,-0.9501973946258402
1992-01-01,10236.435,2.858936912248855
1993-01-01,10576.275,3.3199058070509935
1994-01-01,10939.116,3.430706936043171
1995-01-01,11319.951,3.481405627292
1996-01-01,11614.418,2.6013098466592277
1997-01-01,12115.472,4.314068944306992
1998-01-01,12703.742,4.855526883310857
1999-01-01,13315.597,4.816336792733988
2000-01-01,13878.147,4.224744861233032
2001-01-01,14183.12,2.1975051856706784
2002-01-01,14372.785,1.3372586567694578
2003-01-01,14614.141,1.6792570124718242
2004-01-01,15248.68,4.341952085996703
2005-01-01,15844.727,3.9088432572524257
2006-01-01,16353.835,3.2131067957182013
2007-01-01,16611.69,1.5767249700146868
2008-01-01,16843.003,1.3924712055185307
2009-01-01,16298.262,-3.234227293078318
2010-01-01,16582.71,1.7452658449103264
2011-01-01,16920.632,2.037797199613345
2012-01-01,17367.01,2.6380693108862374
2013-01-01,17662.4,1.700868485709428
2014-01-01,17953.974,1.6508175559380112
2015-01-01,18666.621,3.9692994988184793
2016-01-01,19001.69,1.7950168913805964
2017-01-01,19398.343,2.0874616941966906
2018-01-01,20044.077,3.328810094759116
2019-01-01,20415.15,1.8512850454525775
2020-01-01,20665.553,1.2265547889679818
2021-01-01,20990.541,1.5726073238882199
2022-01-01,21738.871,3.5650820052708365
2023-01-01,22112.329,1.7179273017444263
2024-01-01,22749.846,2.883083912146933
