year,price_yoy_pct_change,volume_yoy_pct_change,1yr_u_rate_pct_diff,1yr_sentiment_pct_change,1yr_gdp_pct_change,1yr_fed_funds_pct_change,1yr_cpi_pct_change,action
1951,29.029773160687622,-15.020484616077923,-35.34017505254307,,10.564876919352262,,,buy
1952,19.887513872481243,-24.103316033568465,-7.507571543980464,,5.165331710079579,,,sell
1953,4.972608939067806,5.171929151640983,-2.2390494249238433,-2.4748646558391374,6.189877102033248,,,buy
1954,18.549471535940395,76.50402469966824,97.39745234646978,-0.11895321173670537,-1.7819250203068182,,,buy
1955,55.60680680799834,74.41694609721138,-21.37572882020751,16.990869392616116,6.170198707152275,,,buy
1956,32.8150127177361,-13.784416396997244,-5.064776225886718,1.2215812690872019,3.2169536928957188,,,sell
1957,-1.3803153696454884,1.1274955590651856,4.334826994710717,-11.196781763325504,3.0497555743857596,,,sell
1958,-0.04288438982364442,43.251306852828804,61.115739595394935,-5.549263873159704,-2.8722901975747894,,,buy
1959,34.489137908032895,47.4200635433959,-19.438154231559928,13.369304556354923,7.415106238167812,,,sell
1960,3.9922731756020586,-11.964049951157943,2.058739565448552,0.63458487572714,4.92379619042107,,,buy
1961,16.311319645941246,40.14080938698773,22.039518606237507,-1.1297950604309048,-0.6675232238545603,,-26.5609202260794,sell
1962,4.783025191833743,9.783433155129359,-16.566826457562374,1.4881743289928195,7.569160858836588,,11.959121388640526,hold
1963,5.29873626921408,27.248781212762225,1.3931341982612422,-0.2618486514794349,3.601109802250946,,3.411493369202212,buy
1964,28.12144295308054,26.84949154382509,-8.545423991268477,4.62063533735888,6.217339646105979,,3.1655328798295024,buy
1965,15.781488372760878,27.782502702833987,-12.659634349089849,3.8143036386449225,5.478300000024183,,23.94674562977248,sell
1966,-0.17801412073765366,54.423556240659785,-15.564550639477384,-9.306260575296122,8.477019498128314,,90.20526360616827,sell
1967,2.6337559579504397,41.822024414929025,1.3926350439508315,1.2526652452025555,2.925069232407873,,-8.035943517328514,buy
1968,16.57344932630374,62.75145750665157,-7.339743589743584,-1.63200842326926,3.8448152772550426,,54.06153718044801,sell
1969,3.86495718677091,7.219019036097815,-1.6448513971733754,-4.789938453304798,4.469434131486105,,27.87094713304379,sell
1970,-17.88705758815861,-2.489990810526637,42.51173442349913,-14.69926925238898,0.3227914619529093,,6.881042907132429,buy
1971,12.778568299716364,45.32278239820038,21.328054026160164,6.227347611202627,2.697158764619889,,-26.471755014978605,buy
1972,19.1488692662149,22.440108464935726,-5.852713982917778,13.92679900744418,3.4725060662768703,,-23.772278246552002,hold
1973,5.325646516166059,10.475875122295374,-13.168758241267914,-16.308194936019614,7.561184799549903,,88.79079339534526,sell
1974,-25.53038561949845,-6.12065621730565,16.283822587005815,-16.13532856213402,0.6389984128199799,,78.94519519519645,sell
1975,-10.50823546995322,28.82993498152006,52.192753088399485,9.270752521334359,-2.2997714710448536,,-17.2925526374611,buy
1976,31.046184189253047,30.27079298112301,-9.012827212143195,22.328718494852694,6.154303273356643,,-37.16810283881817,sell
1977,4.083682459650412,18.818806903260842,-8.411197601737241,1.7701683110852962,3.2268394403294653,,13.174865870501652,sell
1978,-5.397163509046802,46.01358723952515,-13.83924482599439,-9.428761524569907,4.1141118093148465,,17.36903616114358,hold
1979,9.609069503670057,43.60346712612093,-3.471727993927787,-16.853814671004308,6.510448393675339,,47.48426760945878,buy
1980,18.43480459561255,54.54173690486679,22.735013368703267,-2.4359459800580407,1.420553641544986,,20.389504040922503,buy
1981,18.326631504259908,27.253957119494785,6.7333973235002995,9.715394566623537,1.6000011986558205,,-23.724545848751333,sell
1982,-8.352922382091837,38.79701439674768,27.443476168465263,-3.820304209409253,-2.190515056799669,,-40.67154441710505,buy
1983,36.7984404297786,78.97871514468115,-0.110136439613494,28.55216378570551,1.4314731652409485,,-47.60705406724068,buy
1984,13.503616281604904,15.153426308191941,-21.456090749151087,11.548731642189614,8.578045114732769,,33.87150753551784,buy
1985,16.34916853286495,30.249530738704983,-4.133513255944762,-4.419936735915197,4.5548222635726665,,-17.553426253262437,buy
1986,35.961138946058895,47.98958086835391,-2.653639348121307,1.744186046511631,4.146107165729074,,-46.46818346894763,buy
1987,35.56903782564604,56.50689640045617,-11.774559353556212,-4.378021978021984,2.7115848244058993,,93.07013066003049,sell
1988,-0.19825915668642982,5.371630152939642,-10.955335700092341,3.4108669669945746,4.241257896544837,,11.274955987993529,buy
1989,20.54945923525549,-4.887688938599174,-4.149240151391758,-1.040184921763876,4.3151632099998505,,18.374435818828537,buy
1990,16.283653842786578,3.3500616222631177,6.7696832052178015,-12.011499416045279,2.821006526483294,,11.828320932361859,hold
1991,9.006501957404037,16.16220381958363,22.284888996038564,-4.982642434143347,-0.9501973946258402,,-21.545051137641348,buy
1992,20.479783198473314,26.50245463513268,9.461535060659797,-0.3868471953578312,2.858936912248855,,-28.480626907063687,buy
1993,12.740844558953334,43.03275501695385,-7.744099218504413,7.17367853290185,3.3199058070509935,,-2.547616562344801,hold
1994,6.157861635831902,30.19180144351835,-11.75968139719052,11.444388525415183,3.430706936043171,,-11.6617675478924,buy
1995,17.895991686011712,27.233448117260462,-8.001767305514575,-0.02709537572253007,3.481405627292,,7.592810399963756,buy
1996,37.67829350226698,33.91039322939204,-3.239755206255509,1.4816153220706507,2.6013098466592277,,4.483625459383678,buy
1997,40.72037529636773,40.685647364252006,-8.609084963829691,10.264399537078228,4.314068944306992,,-20.248137698504276,buy
1998,42.76204054329685,65.1612811465379,-8.814465642593811,1.3563700952688773,4.855526883310857,,-33.597733644196616,buy
