date,base_sentiment,1yr_sentiment_pct_change
1952-01-01,86.2,
1953-01-01,84.06666666666666,-2.4748646558391374
1954-01-01,83.96666666666667,-0.11895321173670537
1955-01-01,98.23333333333333,16.990869392616116
1956-01-01,99.43333333333334,1.2215812690872019
1957-01-01,88.30000000000001,-11.196781763325504
1958-01-01,83.39999999999999,-5.549263873159704
1959-01-01,94.55,13.369304556354923
1960-01-01,95.15,0.63458487572714
1961-01-01,94.075,-1.1297950604309048
1962-01-01,95.475,1.4881743289928195
1963-01-01,95.22500000000001,-0.2618486514794349
1964-01-01,99.625,4.62063533735888
1965-01-01,103.42500000000001,3.8143036386449225
1966-01-01,93.8,-9.306260575296122
1967-01-01,94.975,1.2526652452025555
1968-01-01,93.42500000000001,-1.63200842326926
1969-01-01,88.95,-4.789938453304798
1970-01-01,75.875,-14.69926925238898
1971-01-01,80.6,6.227347611202627
1972-01-01,91.825,13.92679900744418
1973-01-01,76.85,-16.308194936019614
1974-01-01,64.45,-16.13532856213402
1975-01-01,70.425,9.270752521334359
1976-01-01,86.15,22.328718494852694
1977-01-01,87.675,1.7701683110852962
1978-01-01,79.40833333333333,-9.428761524569907
1979-01-01,66.02499999999999,-16.853814671004308
1980-01-01,64.41666666666667,-2.4359459800580407
1981-01-01,70.675,9.715394566623537
1982-01-01,67.97500000000001,-3.820304209409253
1983-01-01,87.38333333333333,28.55216378570551
1984-01-01,97.47500000000001,11.548731642189614
1985-01-01,93.16666666666667,-4.419936735915197
1986-01-01,94.79166666666667,1.744186046511631
1987-01-01,90.64166666666667,-4.378021978021984
1988-01-01,93.73333333333333,3.4108669669945746
1989-01-01,92.75833333333333,-1.040184921763876
1990-01-01,81.61666666666666,-12.011499416045279
1991-01-01,77.55,-4.982642434143347
1992-01-01,77.25,-0.3868471953578312
1993-01-01,82.79166666666667,7.17367853290185
1994-01-01,92.26666666666667,11.444388525415183
1995-01-01,92.24166666666667,-0.02709537572253007
1996-01-01,93.60833333333333,1.4816153220706507
1997-01-01,103.21666666666665,10.264399537078228
1998-01-01,104.61666666666667,1.3563700952688773
1999-01-01,105.825,1.1550103552652402
2000-01-01,107.575,1.6536735175998185
2001-01-01,89.24166666666667,-17.042373537841815
2002-01-01,89.58333333333333,0.38285554206740624
2003-01-01,87.625,-2.1860465116279038
2004-01-01,95.2,8.644793152639085
2005-01-01,88.55,-6.985294117647067
2006-01-01,87.30833333333334,-1.4022209674383501
2007-01-01,85.58333333333333,-1.9757564188221943
2008-01-01,63.75,-25.511197663096397
2009-01-01,66.25833333333334,3.934640522875821
2010-01-01,71.84166666666667,8.426613004653504
2011-01-01,67.35000000000001,-6.252174921702814
2012-01-01,76.54166666666667,13.647611977233343
2013-01-01,79.20833333333333,3.4839412084920918
2014-01-01,84.125,6.207259337190951
2015-01-01,92.94166666666666,10.48043585933629
2016-01-01,91.84166666666665,-1.183538061508127
2017-01-01,96.76666666666667,5.362489792214875
2018-01-01,98.36666666666667,1.6534619359283687
2019-01-01,95.98333333333333,-2.422907488986792
2020-01-01,81.54166666666667,-15.046014933148111
2021-01-01,77.61666666666666,-4.813490035769052
2022-01-01,58.975,-24.017607902082883
2023-01-01,65.35000000000001,10.809665112335743
2024-01-01,78.125,19.548584544758985
