price,volume,price_1d_diff,price_1m_diff,volume_1d_diff,volume_1m_diff,price_pct_change,rolling_mean_price_7d,rolling_std_price_7d,rolling_mean_volume_7d,rolling_std_volume_7d,momentum_14d,ema_20d
16.66,1260000.0,,,,,,,,,,,16.66
16.85,1890000.0,0.19000000000000128,,630000.0,,1.1404561824730042,,,,,,16.67809523809524
16.93,2550000.0,0.0799999999999983,,660000.0,,0.47477744807120636,,,,,,16.702086167800452
16.98,2010000.0,0.05000000000000071,,-540000.0,,0.2953337271116352,,,,,,16.728554151819456
17.08,2520000.0,0.09999999999999787,,510000.0,,0.5889281507655886,,,,,,16.762025184979507
17.030001,2160000.0,-0.04999899999999968,,-360000.0,,-0.2927341920374693,,,,,,16.787546691171933
17.09,2630000.0,0.059999000000001246,,470000.0,,0.35231354361049405,16.945714428571428,0.15175176942609825,2145714.285714286,484178.24344818655,,16.816351768203177
16.76,2970000.0,-0.3299999999999983,,340000.0,,-1.930953774136912,16.960000142857144,0.12220211400302654,2390000.0,383796.8212479096,,16.810984933136208
16.67,3330000.0,-0.08999999999999986,,360000.0,,-0.5369928400954627,16.934285857142857,0.16174651979813537,2595714.285714286,451141.4095697393,,16.797557796647045
16.719999,1460000.0,0.04999899999999968,,-1870000.0,,0.2999340131973671,16.904285714285717,0.18100278477297121,2440000.0,624393.0386116316,,16.790171244585423
16.860001,1790000.0,0.14000199999999907,,330000.0,,0.8373325859648562,16.887143000000002,0.17829910397045143,2408571.4285714286,654457.2451385084,,16.79682169748205
16.85,1570000.0,-0.010000999999999038,,-220000.0,,-0.0593179086999962,16.85428585714286,0.1567227169253892,2272857.1428571427,722466.0150187984,,16.801886297721854
16.870001,1170000.0,0.02000099999999705,,-400000.0,,0.11870029673588522,16.831428714285714,0.13728684777466635,2131428.5714285714,836190.3406009218,,16.808373412224533
16.9,1440000.0,0.02999900000000011,,270000.0,,0.17782453006374155,16.804285857142855,0.08734208607811005,1961428.5714285714,838896.6676817943,,16.817099753917436
16.92,1340000.0,0.020000000000003126,,-100000.0,,0.11834319526629056,16.827143000000003,0.09446623987788633,1728571.4285714286,731651.7516648788,0.26000000000000156,16.82689977735387
16.860001,1250000.0,-0.059999000000001246,,-90000.0,,-0.354604018912541,16.854286,0.06425437913999496,1431428.5714285714,207479.20148202503,0.010000999999999038,16.830052274748738
16.74,1700000.0,-0.12000100000000202,,450000.0,,-0.7117496612248253,16.857143285714287,0.05736272641042901,1465714.2857142857,231434.4502486708,-0.19000000000000128,16.82147586762981
16.73,1150000.0,-0.00999999999999801,,-550000.0,,-0.05973715651134137,16.838571714285713,0.07470588999696035,1374285.7142857143,207111.65610664643,-0.25,16.812763880236496
16.82,1250000.0,0.08999999999999986,,100000.0,,0.5379557680812885,16.834286,0.07480146102628314,1328571.4285714286,191435.67861717605,-0.259999999999998,16.813453034499688
17.02,1640000.0,0.1999999999999993,,390000.0,,1.189060642092743,16.855714428571428,0.10293317989818422,1395714.2857142857,208235.21498993502,-0.010000999999999038,16.833124174071145
17.049999,1690000.0,0.02999900000000011,,50000.0,,0.17625734430082307,16.877142857142854,0.12658493666629023,1431428.5714285714,236602.9424604692,-0.040001000000000175,16.8537789193977
17.049999,1810000.0,0.0,0.38999899999999954,120000.0,550000.0,0.0,16.895714142857145,0.14246095371647774,1498571.4285714286,270581.3846410826,0.2899989999999981,16.87246654612173
17.23,2040000.0,0.18000100000000074,0.379999999999999,230000.0,150000.0,1.0557244020952705,16.94857114285714,0.18827520131129297,1611428.5714285714,311310.59364288516,0.5599999999999987,16.90651735125299
17.290001,2210000.0,0.06000099999999975,0.36000100000000046,170000.0,-340000.0,0.3482356355194449,17.027142714285713,0.20105691210509394,1684285.7142857143,386171.6864667468,0.5700019999999988,16.94303960351461
17.32,1490000.0,0.02999900000000011,0.33999999999999986,-720000.0,-520000.0,0.17350490610150704,17.11142842857143,0.17808533401419918,1732857.142857143,324176.61265192495,0.4599989999999998,16.978940593656073
17.23,1360000.0,-0.08999999999999986,0.15000000000000213,-130000.0,-1160000.0,-0.5196304849884537,17.16999985714286,0.12609567796111093,1748571.4285714286,298520.1596446808,0.379999999999999,17.002851013307875
17.209999,1470000.0,-0.0200010000000006,0.1799980000000012,110000.0,-690000.0,-0.11608241439350353,17.19714257142857,0.10750473301029427,1724285.7142857143,315270.1033958629,0.33999800000000135,17.02257939299284
17.280001,1810000.0,0.07000199999999879,0.19000099999999875,340000.0,-820000.0,0.406751912071579,17.23,0.08850670408126349,1741428.5714285714,316355.737076084,0.38000100000000003,17.047095736517328
17.24,1790000.0,-0.040001000000000175,0.4799999999999969,-20000.0,-1180000.0,-0.23148725512226465,17.257143,0.039881204553789476,1738571.4285714286,315722.9044287924,0.31999999999999673,17.065467571134725
17.059999,2210000.0,-0.1800009999999972,0.38999899999999954,420000.0,-1120000.0,-1.0440893271461582,17.232857142857142,0.08518945273802579,1762857.142857143,347693.07757054386,0.1999980000000008,17.064946754836182
17.059999,1730000.0,0.0,0.33999999999999986,-480000.0,270000.0,0.0,17.199999714285713,0.1021442607323908,1694285.7142857143,286813.36224434304,0.3199990000000028,17.06447554008988
16.99,1920000.0,-0.06999900000000281,0.12999899999999798,190000.0,130000.0,-0.4103106922808353,17.152856857142858,0.11309536431321529,1755714.2857142857,281771.6062615929,0.259999999999998,17.057382631509892
17.15,1940000.0,0.16000000000000014,0.29999999999999716,20000.0,370000.0,0.9417304296645002,17.141428285714287,0.10792449521417422,1838571.4285714286,225715.79264114227,0.3299999999999983,17.066203333270856
